fk_moneda,fk_plan,fk_fpagp,fuma,sexo,edad,Suma Aseg ,Reserva,Prima,pzoseg,pzopago,suma retenida 
2,1,2,S,M,52,"750,000.00","43,068.53","7,497.00",99,20,"300,000.00"
2,2,2,N,F,39,"250,000.00",331.13,246,20,20,"100,000.00"
2,2,2,S,M,36,"310,762.50","3,686.93","1,645.80",19,19,0
2,2,2,N,F,43,"75,000.00",416.39,139.95,18,18,0
2,2,2,S,M,28,"187,500.00","32,052.80","4,012.88",20,20,0
2,2,1,N,F,37,"125,000.00",956.06,293.5,18,18,0
2,2,1,N,M,51,"125,000.00","5,439.18",677,25,25,0
2,2,2,N,F,54,"875,000.00","7,925.28","3,393.98",20,20,"437,500.00"
2,2,2,N,F,39,"187,500.00","67,943.68","6,499.13",18,18,0
2,1,2,N,F,50,"250,000.00","13,662.51","1,702.50",99,99,"150,000.00"
2,2,1,N,M,32,"62,500.00","7,153.10",839,20,20,0
2,2,1,N,M,36,"250,000.00","2,267.31",899.5,20,20,"100,000.00"
2,2,1,N,F,41,"250,000.00",532.5,249.83,20,20,"150,000.00"
2,1,1,N,M,39,"250,000.00","10,913.58","1,686.98",99,99,"100,000.00"
2,2,1,N,M,52,"62,500.00","10,981.36","1,222.00",15,15,0
2,2,2,N,M,48,"750,000.00","125,683.61","10,819.80",65,65,"300,000.00"
2,2,1,N,F,49,"125,000.00",539.41,130.5,18,18,0
2,1,1,N,M,35,"1,312,500.00","37,109.14","5,616.00",99,99,"787,500.00"
2,1,3,N,M,47,"500,000.00","64,869.39","7,802.85",99,20,"200,000.00"
2,2,1,S,M,41,"89,687.50",114.58,60.55,20,20,0
2,2,1,N,M,36,"3,000,000.00","59,943.13","22,609.80",20,20,"1,500,000.00"
2,2,2,N,F,44,"225,000.00","64,553.05","6,212.90",18,18,"135,000.00"
2,2,3,S,M,43,"500,000.00","4,218.33","1,190.00",65,65,"300,000.00"
2,2,1,N,F,35,"125,000.00","1,716.17",771.5,20,20,"75,000.00"
2,1,3,N,M,42,"187,500.00","3,250.82",567,99,99,0
2,1,3,N,M,53,"125,000.00","5,918.49",520.24,99,99,"75,000.00"
2,1,1,N,M,34,"1,379,175.00","120,763.44","18,483.30",99,99,"827,505.00"
2,2,2,N,F,47,"300,000.00",39.5,114,22,22,0
2,2,2,N,M,52,"375,000.00","3,162.40","1,417.50",20,20,"225,000.00"
2,2,2,N,F,36,"375,000.00","1,020.30",738,20,20,"225,000.00"
2,2,2,N,M,38,"273,410.00","4,991.93","1,804.50",19,19,"164,046.00"
2,1,3,N,F,37,"250,000.00","26,381.15","4,327.20",99,99,"150,000.00"
2,2,2,N,M,58,"225,000.00",340.11,263.25,18,18,0
2,2,4,N,F,47,"250,000.00",382.53,100.5,18,18,"100,000.00"
2,2,4,N,F,46,"500,000.00","1,188.11",261,18,18,"300,000.00"
2,2,2,N,M,40,"30,000,000.00","759,584.76","150,660.00",65,65,"2,500,000.00"
2,2,4,N,M,51,"225,000.00","12,591.66","1,100.99",25,25,0
2,1,1,N,M,48,"3,750,000.00","41,639.19","5,158.50",99,99,"1,250,000.00"
2,2,3,S,M,43,"754,590.00","54,654.30","27,038.46",14,14,"301,836.00"
2,2,1,N,M,49,"500,000.00","2,604.80",830.36,20,20,"200,000.00"
2,2,2,N,M,40,"500,000.00","16,407.54","5,632.00",19,19,"200,000.00"
2,2,1,N,M,41,"250,000.00","1,137.77",437,20,20,0
2,1,2,N,M,36,"500,000.00","11,821.75","3,001.00",99,99,"300,000.00"
2,2,2,N,M,26,"112,500.00",162.02,45.23,18,18,0
2,2,4,S,M,37,"1,000,000.00","11,174.08","2,112.60",65,65,"400,000.00"
2,2,1,N,M,39,"500,000.00","28,785.40","3,337.25",20,20,"200,000.00"
2,2,4,N,M,37,"375,000.00","6,686.36","1,368.00",65,65,"225,000.00"
2,2,2,N,M,46,"200,000.00","51,867.51","5,178.00",18,18,0
2,2,1,N,M,45,"375,000.00","2,228.77",879.75,20,20,"150,000.00"
2,2,1,S,M,41,"250,000.00","45,746.19","5,065.50",20,20,0
2,2,2,N,M,56,"3,187,500.00","9,980.02","3,325.50",20,20,"1,593,750.00"
2,1,1,N,M,50,"375,000.00","15,657.77","2,168.33",99,99,"225,000.00"
2,1,1,N,M,54,"125,000.00","2,279.87",328.8,99,99,"50,000.00"
2,1,2,S,M,57,"150,000.00","7,005.26","1,143.48",99,99,0
2,1,3,N,M,48,"750,000.00","39,268.04","8,032.50",99,25,"450,000.00"
2,1,2,N,F,45,"500,000.00","13,723.40","3,039.00",99,99,"300,000.00"
2,1,1,N,M,46,"1,125,000.00","39,847.80","9,259.50",99,99,"675,000.00"
2,2,2,N,F,41,"250,000.00","2,345.53",910.5,20,20,"100,000.00"
2,1,2,N,M,48,"250,000.00","8,124.26","1,544.00",99,20,"100,000.00"
2,2,1,N,M,36,"93,493.75","15,813.94","1,896.62",19,19,0
2,1,1,N,M,37,"250,000.00","7,428.37","1,408.50",99,20,"100,000.00"
2,2,1,N,M,50,"250,000.00","37,378.66","3,401.08",20,20,"100,000.00"
2,2,2,N,M,49,"431,250.00","3,357.11","1,062.47",20,20,"172,500.00"
2,2,1,N,M,46,"1,250,000.00","7,646.44","2,580.00",20,20,"625,000.00"
2,2,2,N,M,50,"227,842.50",248.63,333.56,9,9,0
2,2,1,N,F,40,"750,000.00","7,926.46","3,445.50",20,20,"450,000.00"
2,2,2,N,F,54,"375,000.00","1,430.06",499.5,22,22,"225,000.00"
2,2,2,N,M,45,"250,000.00",500.64,155.5,22,22,"100,000.00"
2,1,3,N,M,49,"1,875,000.00","57,233.96","7,638.75",99,99,"937,500.00"
2,2,1,S,F,50,"93,750.00","15,087.86","1,815.34",60,60,0
2,1,3,S,F,46,"1,500,000.00","51,059.44","5,447.98",99,99,"900,000.00"
2,2,1,N,F,39,"750,000.00","1,641.97","1,202.00",20,20,"300,000.00"
2,1,4,N,M,57,"1,125,000.00","47,643.05","7,951.50",99,99,"675,000.00"
2,1,2,S,M,26,"2,000,000.00","43,699.00","6,152.00",99,99,"1,200,000.00"
2,2,2,S,M,36,"375,000.00",994.97,373.82,20,20,"225,000.00"
2,2,4,N,M,49,"375,000.00","13,109.65","1,185.51",65,65,"150,000.00"
2,2,1,S,M,52,"263,135.00","1,538.27","1,400.40",13,13,"157,881.00"
2,2,3,N,M,52,"112,500.00",757.22,176.18,18,18,0
2,1,1,N,F,40,"449,238.75","8,221.11","1,662.56",99,99,"179,695.50"
2,2,1,N,M,52,"375,000.00",620.98,267,18,18,0
2,2,1,N,M,49,"625,000.00","11,924.32","5,090.00",20,20,"250,000.00"
2,2,2,S,M,42,"250,000.00","1,757.69",927,20,20,"100,000.00"
2,1,1,N,F,41,"449,238.75","16,214.00","2,955.33",99,99,"179,695.50"
2,2,1,N,M,27,"527,495.00",141.06,"1,797.69",12,12,"316,497.00"
2,2,2,N,F,54,"125,000.00","42,633.11","3,342.38",15,15,"75,000.00"
2,1,2,S,M,54,"500,000.00","22,057.95","2,796.75",99,20,"200,000.00"
2,2,2,N,M,36,"455,685.00","6,182.90","2,134.42",19,19,0
2,2,2,S,M,39,"250,000.00","50,645.85","5,307.00",20,20,"150,000.00"
2,2,1,N,F,37,"125,000.00","7,296.27",938.5,60,60,"75,000.00"
2,1,2,N,M,46,"237,500.00","3,932.43",505.69,99,99,"95,000.00"
2,2,2,N,M,28,"187,500.00","17,103.20","4,545.00",20,20,0
2,1,1,N,M,33,"375,000.00","12,981.33","2,466.00",99,99,"150,000.00"
2,2,1,N,M,49,"2,812,500.00","230,164.33","23,129.94",15,15,"625,000.00"
2,2,1,N,F,39,"65,511.25","3,954.11","4,429.48",8,8,0
2,2,1,S,M,37,"125,000.00",244.61,218.25,18,18,0
2,2,2,S,F,39,"500,000.00","94,582.26","8,086.00",60,60,"300,000.00"
2,2,1,N,M,30,"393,480.00","41,299.30","11,324.36",11,11,0
2,2,1,N,M,44,"250,000.00","58,118.43","5,358.30",20,20,"150,000.00"
2,2,1,N,M,45,"225,000.00",270.79,392.85,18,18,0
2,2,1,N,F,50,"375,000.00",876.52,400.5,20,20,"225,000.00"
2,2,1,N,M,32,"250,000.00","5,404.90","1,949.00",20,20,"150,000.00"
2,2,3,N,M,53,"62,500.00","10,499.19",955.5,25,25,0
2,2,2,N,M,41,"113,921.25",596.21,208.93,19,19,0
2,2,2,S,M,32,"375,000.00","1,021.82",457.5,20,20,"150,000.00"
2,2,2,N,F,41,"562,500.00","8,467.31","3,837.38",20,20,"337,500.00"
2,2,1,N,M,43,"625,000.00","5,460.53","2,055.00",20,20,"250,000.00"
2,2,2,N,M,46,"250,000.00","1,281.01",725,20,20,"100,000.00"
2,2,3,N,M,38,"187,500.00","14,555.14","1,390.88",20,20,0
2,2,1,N,F,49,"125,000.00","12,366.78","1,561.50",22,22,0
2,1,1,N,M,41,"125,000.00","13,303.38","1,720.89",99,99,"75,000.00"
2,1,2,N,M,51,"251,250.00","4,969.94",686.94,99,99,0
2,2,1,N,F,41,"1,078,990.00","162,756.21","19,946.34",20,20,"647,394.00"
2,2,1,S,F,41,"750,000.00","8,554.85","1,228.28",75,75,"300,000.00"
2,2,2,S,M,39,"1,125,000.00","286,630.04","33,140.25",15,15,"675,000.00"
2,2,2,N,M,40,"1,000,000.00","5,023.52","2,174.00",20,20,"400,000.00"
2,1,1,N,F,38,"125,000.00","2,643.08",336.5,99,99,0
2,2,3,N,M,51,"125,000.00",803.63,769.5,15,15,"75,000.00"
2,2,1,N,F,46,"250,000.00","25,371.70","2,859.00",22,22,"150,000.00"
2,1,2,N,F,33,"62,500.00","2,280.42",363.5,99,99,0
2,1,1,S,M,55,"250,000.00","10,389.98","1,476.00",99,99,0
2,1,1,N,M,41,"750,000.00","8,096.96","1,770.00",99,99,"450,000.00"
2,1,3,N,M,37,"562,500.00","15,436.61","3,137.63",99,99,"225,000.00"
2,2,2,S,M,54,"250,000.00",406.48,246,20,20,"150,000.00"
2,1,2,N,M,35,"324,217.50","9,531.47","12,876.62",99,4,"194,530.50"
2,2,1,N,F,29,"250,000.00","36,969.41","4,535.50",10,10,0
2,2,1,S,M,44,"375,000.00","6,655.30","3,208.50",20,20,"225,000.00"
2,2,1,N,M,48,"141,835.00",303.53,118.86,19,19,"56,734.00"
2,2,1,N,M,24,"125,000.00","9,901.03",855.25,22,22,0
2,2,2,N,M,31,"300,000.00","1,083.20",284.4,18,18,"120,000.00"
2,2,1,N,M,42,"187,500.00",387.43,123.75,18,18,0
2,2,2,N,M,50,"750,000.00","4,071.42","1,782.00",20,20,"450,000.00"
2,2,3,N,F,36,"62,500.00","3,783.24",313,65,65,0
2,2,2,S,F,43,"800,000.00","3,739.74",995.2,18,18,"320,000.00"
2,1,1,S,M,38,"1,125,000.00","75,021.75","8,479.35",99,99,"675,000.00"
2,2,1,N,M,44,"250,000.00","1,038.91",364.84,20,20,"100,000.00"
2,2,3,N,M,46,"750,000.00","34,646.36","2,529.80",65,65,"300,000.00"
2,2,2,N,M,36,"414,350.00","4,975.74","2,194.40",19,19,0
2,1,1,N,M,43,"500,000.00","26,907.15","3,540.00",99,99,"300,000.00"
2,1,1,N,F,37,"850,000.00","19,650.29","2,482.40",99,99,"340,000.00"
2,2,4,N,M,31,"3,750,000.00","31,706.66","10,620.00",20,20,"1,875,000.00"
2,1,2,N,M,40,"625,000.00","14,850.92","2,775.00",99,20,"250,000.00"
2,2,4,N,F,45,"500,000.00","3,684.97","1,830.00",20,20,"200,000.00"
2,1,1,N,F,46,"300,000.00","16,144.29","2,079.00",99,99,"180,000.00"
2,1,1,N,F,35,"937,500.00","20,833.34","2,435.25",99,99,"375,000.00"
2,2,2,N,M,37,"500,000.00","24,346.02","11,406.00",20,20,"200,000.00"
2,2,3,S,M,51,"250,000.00","11,579.13","1,599.00",65,65,0
2,2,2,N,M,40,"1,000,000.00","73,992.56","5,511.80",55,55,"600,000.00"
2,2,1,N,M,37,"426,240.00",207.68,"2,090.28",12,12,"170,496.00"
2,2,2,N,M,46,"2,500,000.00","100,423.35","39,816.75",20,20,"1,250,000.00"
2,1,2,N,M,51,"225,000.00","6,046.34",878.43,99,99,0
2,2,1,N,M,53,"500,000.00","5,318.41","2,197.00",20,20,"200,000.00"
2,2,2,N,F,51,"375,000.00","40,678.32","4,423.13",65,65,"225,000.00"
2,2,1,N,F,39,"125,000.00",318.34,339,20,20,"50,000.00"
2,1,3,N,M,43,"750,000.00","85,608.68","10,889.33",99,99,"300,000.00"
2,2,3,N,F,45,"187,500.00","26,371.05","2,324.26",20,20,0
2,1,3,N,M,37,"200,000.00","13,951.03","1,913.86",99,99,0
2,1,1,S,M,34,"1,875,000.00","15,765.23","3,032.25",99,99,"937,500.00"
2,2,2,N,M,39,"375,000.00","11,623.60","4,068.00",20,20,"225,000.00"
2,2,1,N,M,52,"147,745.00","1,238.29",541.93,19,19,"88,647.00"
2,2,2,N,M,35,"625,000.00",764.95,"2,400.00",10,10,"312,500.00"
2,1,2,N,M,34,"62,500.00","5,315.15",876.75,99,99,0
2,2,1,N,M,46,"375,000.00","50,179.64","4,964.25",20,20,"225,000.00"
2,2,1,N,M,47,"125,000.00","3,845.97","1,689.75",20,20,"75,000.00"
2,2,2,N,M,44,"500,000.00","8,784.86","3,039.00",20,20,"300,000.00"
2,2,2,N,F,34,"134,946.25",586.28,269.36,19,19,"53,978.50"
2,2,2,S,M,36,"482,995.00","3,689.22","1,673.10",18,18,0
2,1,3,S,M,42,"1,500,000.00","60,251.37","7,023.12",99,99,"600,000.00"
2,2,2,N,M,50,"444,085.00","2,112.30",903.27,18,18,0
2,2,1,S,M,46,"375,000.00","3,036.50","1,302.75",19,19,"225,000.00"
2,2,1,N,M,55,"375,000.00","1,463.18",497.25,18,18,"225,000.00"
2,2,3,N,M,55,"312,500.00",295.63,425.63,10,10,"187,500.00"
2,1,4,S,M,41,"1,250,000.00","129,628.37","25,762.50",99,99,"625,000.00"
2,1,1,N,F,36,"187,500.00","8,289.67","1,071.04",99,99,"75,000.00"
2,2,1,N,M,42,"3,000,000.00","46,093.77","17,585.40",20,20,"1,250,000.00"
2,2,2,N,M,33,"250,000.00","1,556.18",993,20,20,"150,000.00"
2,2,2,N,F,33,"250,000.00","44,535.43","3,732.00",25,25,"100,000.00"
2,1,3,S,M,48,"475,000.00","33,259.71","3,753.57",99,99,0
2,2,2,S,M,40,"125,000.00",661.84,207.59,20,20,"75,000.00"
2,2,1,S,F,54,"431,250.00","1,097.12",537.23,20,20,"258,750.00"
2,2,1,N,F,54,"337,500.00",820.65,213.3,18,18,0
2,2,2,N,M,34,"250,000.00","22,787.43","5,495.00",19,19,"150,000.00"
2,2,1,N,F,53,"204,707.50",884.2,650.97,17,17,0
2,1,1,N,M,53,"2,175,000.00","56,396.27","5,854.77",99,99,"1,087,500.00"
2,2,2,S,M,27,"1,500,000.00","3,633.49","1,781.50",20,20,"750,000.00"
2,2,1,N,F,43,"625,000.00","13,411.64","4,799.25",20,20,"312,500.00"
2,2,1,N,M,52,"2,500,000.00","24,238.17","9,236.25",20,20,"1,250,000.00"
2,1,2,N,M,38,"500,000.00","8,035.39","1,232.00",99,99,"300,000.00"
2,2,4,S,F,40,"300,000.00","40,399.22","3,885.58",20,20,0
2,2,3,N,M,25,"2,500,000.00","77,517.96","27,632.25",20,20,"1,250,000.00"
2,1,2,N,M,24,"1,250,000.00","79,936.62","10,777.50",99,60,"500,000.00"
2,2,1,N,M,32,"375,000.00","49,098.07","5,807.27",11,11,"225,000.00"
2,2,2,S,F,58,"562,500.00","123,062.96","13,171.50",22,22,"225,000.00"
2,1,2,N,M,44,"250,000.00","23,165.16","2,721.00",99,60,"100,000.00"
2,1,1,N,M,53,"562,500.00","8,692.21","1,319.00",99,99,"337,500.00"
2,1,1,S,M,33,"1,500,000.00","47,877.76","5,306.10",99,99,"600,000.00"
2,2,1,N,M,55,"125,000.00","16,151.29","1,534.46",65,65,"50,000.00"
2,2,1,N,M,38,"125,000.00","4,601.38","1,262.25",21,21,"50,000.00"
2,2,3,N,M,48,"1,800,000.00","6,513.72","5,038.80",15,15,"1,080,000.00"
2,1,2,N,M,32,"62,500.00",986.35,124.88,99,99,0
2,1,1,N,F,32,"1,000,000.00","44,323.82","5,015.80",99,99,"600,000.00"
2,2,2,N,M,38,"250,000.00","2,333.60",647.4,20,20,"150,000.00"
2,2,3,S,M,29,"5,625,000.00","780,282.36","49,431.38",15,15,"1,875,000.00"
2,2,1,N,F,45,"338,317.50","60,779.10","7,500.08",20,20,"202,990.50"
2,2,2,N,M,50,"2,500,000.00","642,540.51","67,104.75",15,15,"1,250,000.00"
2,2,2,N,M,26,"325,000.00","2,452.14",643.24,20,20,0
2,2,1,N,F,39,"125,000.00","16,708.05","1,612.25",18,18,0
2,2,2,S,M,42,"250,000.00","13,474.45","1,266.00",25,25,0
2,2,3,S,M,52,"125,000.00","14,537.73","1,717.00",20,20,0
2,2,1,N,F,38,"1,250,000.00","32,583.54","4,189.75",55,55,"625,000.00"
2,2,2,N,M,32,"1,800,000.00","8,099.73","2,518.40",20,20,"900,000.00"
2,2,1,N,M,40,"375,000.00","9,954.30","4,160.25",20,20,"225,000.00"
2,1,1,N,M,45,"250,000.00","4,483.06",631.89,99,99,"150,000.00"
2,2,2,N,M,45,"750,000.00","6,073.66","1,637.33",20,20,"300,000.00"
2,2,1,N,M,52,"625,000.00","4,862.87","2,251.88",20,20,"312,500.00"
2,2,2,N,M,44,"625,000.00","3,865.29","1,030.00",20,20,"250,000.00"
2,1,1,N,M,45,"1,500,000.00","39,818.04","7,377.00",99,99,"600,000.00"
2,2,1,S,F,42,"325,000.00","37,885.50","4,105.98",20,20,0
2,2,1,N,F,43,"250,000.00",861.76,509,20,20,"150,000.00"
2,1,1,N,F,33,"375,000.00","48,129.95","5,973.75",99,20,"225,000.00"
2,2,2,N,M,47,"1,312,500.00","6,948.92","1,816.50",20,20,"787,500.00"
2,2,1,N,M,49,"500,000.00","101,161.80","11,373.00",20,20,"300,000.00"
2,2,1,N,M,49,"250,000.00","2,636.63","1,176.00",20,20,"150,000.00"
2,2,1,N,F,45,"250,000.00",561.64,272,20,20,"100,000.00"
2,2,1,N,M,40,"750,000.00","32,845.84","2,655.84",65,65,"450,000.00"
2,2,2,N,M,43,"187,500.00","22,523.33","2,650.50",20,20,0
2,2,2,N,M,45,"2,500,000.00","6,247.21","3,602.00",20,20,"1,250,000.00"
2,2,2,N,M,33,"375,000.00","6,827.73","1,721.67",20,20,"225,000.00"
2,2,2,N,M,45,"625,000.00","62,826.77","7,657.25",20,20,"312,500.00"
2,2,2,N,F,42,"125,000.00",810.14,247.75,20,20,0
2,1,1,N,M,40,"118,750.00","3,234.77",387.93,99,99,0
2,1,2,N,M,40,"625,000.00","26,386.78","4,065.38",99,99,"312,500.00"
2,1,1,S,M,47,"1,050,000.00","47,338.07","9,093.60",99,99,"630,000.00"
2,2,1,N,F,37,"434,456.25","78,521.99","9,000.09",20,20,"173,782.50"
2,2,1,N,M,46,"125,000.00",274.29,282,10,10,"75,000.00"
2,2,1,N,M,34,"500,000.00","5,680.16","2,012.00",20,20,"300,000.00"
2,2,1,N,F,42,"62,500.00","18,081.34","1,781.63",18,18,0
2,2,1,S,M,57,"1,025,000.00","5,313.69","3,649.05",20,20,"410,000.00"
2,2,1,N,M,36,"625,000.00","1,798.52","1,750.00",10,10,"312,500.00"
2,2,1,N,M,58,"500,000.00","43,518.76","4,558.25",15,15,"300,000.00"
2,2,1,N,F,54,"225,000.00",925.61,264.15,18,18,0
2,2,3,N,M,54,"320,040.00","3,353.54","1,644.37",17,17,0
2,2,2,S,M,37,"125,000.00","2,335.71",927.75,20,20,"50,000.00"
2,2,2,N,M,43,"500,000.00","74,967.34","6,569.06",20,20,"300,000.00"
2,2,1,N,M,48,"1,000,000.00","6,106.42","2,598.00",20,20,"400,000.00"
2,1,2,N,M,39,"500,000.00","6,308.97","1,002.00",99,99,"200,000.00"
2,2,2,N,M,24,"750,000.00","8,060.54","16,488.00",10,10,"300,000.00"
2,1,1,N,F,27,"2,500,000.00","46,789.42","6,091.00",99,99,"1,250,000.00"
2,1,1,N,F,54,"1,000,000.00","62,037.72","12,606.00",99,99,"600,000.00"
2,2,1,N,F,37,"75,000.00",288,161.55,18,18,0
2,2,1,N,M,50,"216,070.00",380.82,803.78,9,9,0
2,2,1,N,F,32,"187,500.00","10,851.56","1,258.50",20,20,0
2,2,1,S,F,45,"125,000.00","14,889.96","1,431.00",65,65,"75,000.00"
2,2,1,S,M,56,"125,000.00","17,985.44","2,901.44",20,20,"75,000.00"
2,2,1,S,M,43,"187,500.00","17,985.66","3,164.25",20,20,0
2,2,2,N,M,42,"93,750.00","17,075.84","1,750.68",20,20,0
2,2,3,N,F,42,"250,000.00","3,419.94",762,18,18,0
2,2,2,N,M,42,"375,000.00","18,753.16","2,580.00",20,20,"225,000.00"
2,2,2,N,M,39,"750,000.00","90,757.13","9,858.50",20,20,"300,000.00"
2,2,2,S,M,28,"500,000.00","112,335.72","9,928.50",20,20,"200,000.00"
2,2,2,N,M,40,"638,910.00","1,666.80",730.91,19,19,"255,564.00"
2,2,1,N,M,55,"375,000.00",322.55,"1,662.00",10,10,"150,000.00"
2,2,2,N,M,32,"112,455.00",889.82,302.73,19,19,0
2,1,3,S,M,39,"312,500.00","3,625.15",695,99,25,"187,500.00"
2,1,1,N,F,47,"3,750,000.00","75,356.56","9,239.25",99,99,"1,875,000.00"
2,2,2,N,M,43,"325,000.00","44,922.72","3,295.74",65,65,"195,000.00"
2,2,1,N,M,37,"250,000.00","39,852.31","2,906.00",21,21,"150,000.00"
2,2,1,N,M,51,"750,000.00","2,011.93",853.5,18,18,"450,000.00"
2,1,1,S,M,30,"1,250,000.00","73,577.76","12,655.13",99,25,"625,000.00"
2,1,1,N,M,57,"750,000.00","20,722.03","3,996.00",99,99,"450,000.00"
2,1,1,N,M,42,"250,000.00","12,907.53","3,354.00",99,99,"100,000.00"
2,2,1,N,M,46,"1,356,740.00","22,610.43","19,431.24",14,14,"542,696.00"
2,2,1,S,M,48,"250,000.00","4,525.88","1,513.55",20,20,"150,000.00"
2,1,2,N,M,47,"250,000.00","6,196.52",925,99,99,"150,000.00"
2,2,4,N,M,46,"750,000.00","80,286.62","10,926.00",20,20,"300,000.00"
2,2,2,S,M,42,"500,000.00","9,935.18","4,494.00",20,20,"200,000.00"
2,2,2,N,M,40,"250,000.00","12,560.82","3,199.50",75,23,"150,000.00"
2,2,3,N,F,47,"125,000.00","62,922.63","6,630.75",18,18,0
2,2,1,S,F,38,"500,000.00",945.06,"2,691.00",10,10,"200,000.00"
2,2,2,N,M,48,"450,000.00","1,030.22",291.6,18,18,0
2,2,3,N,M,26,"500,000.00","63,693.36","10,353.00",60,60,"300,000.00"
2,2,2,N,M,31,"361,332.50",213.89,801.71,1,1,"216,799.50"
2,2,2,N,M,32,"1,500,000.00","14,288.79","4,647.00",20,20,"900,000.00"
2,2,3,N,M,40,"1,725,000.00","14,273.52","4,588.35",20,20,"690,000.00"
2,1,2,N,M,41,"1,250,000.00","36,636.04","6,094.75",99,99,"625,000.00"
2,2,1,N,M,36,"187,500.00","5,358.29","1,883.25",20,20,"75,000.00"
2,2,2,N,M,51,"500,000.00","24,101.91","9,180.00",20,20,"300,000.00"
2,2,2,N,F,36,"375,000.00","1,534.48",807.75,18,18,"225,000.00"
2,2,1,S,F,33,"234,490.00",135.03,294.52,11,11,0
2,2,1,S,M,48,"375,000.00","20,221.56","1,938.23",25,25,"225,000.00"
2,2,1,N,M,34,"226,630.00","2,274.58","1,009.86",17,17,0
2,2,1,N,M,45,"532,233.75","63,903.87","7,500.06",20,20,"319,340.25"
2,2,3,N,M,25,"1,875,000.00","47,761.73","16,498.31",20,20,"937,500.00"
2,2,1,N,M,26,"250,000.00","1,793.17",674.5,20,20,"100,000.00"
2,1,1,N,M,41,"375,000.00","15,816.33","2,386.50",99,99,"150,000.00"
2,2,1,N,M,37,"353,081.25",548.89,372.86,17,17,0
2,2,2,N,M,30,"1,250,000.00","18,638.31","6,375.00",20,20,"500,000.00"
